dec	hex	name
1160	0x0488	EID_I_CPS_PAUSE
1161	0x0489	EID_I_CPS_FIND_CHARGER
1162	0x048a	EID_I_CPS_CHARGING
1163	0x048b	EID_I_CPS_ERROR
1164	0x048c	EID_I_CPS_REMOTE_CONTROL
1165	0x048d	EID_I_CPS_FULL_CHARGE
1166	0x048e	EID_I_CPS_SHUTDOWN
1167	0x048f	EID_I_CPS_FIND_CHARGER_PAUSE
1168	0x0490	EID_I_CPS_FIND_CHARGER_AND_WASH
1169	0x0491	EID_I_CPS_DUST_CENTER_WORKING
1170	0x0492	EID_I_CPS_RUNNING_MODE
1171	0x0493	EID_I_WIFI_RESET
1171	0x0493	EID_I_CPS_RUNNING_MODE
1172	0x0494	EID_I_OPEN_CAMERA
1173	0x0495	EID_I_CLOSE_CAMERA
1174	0x0496	EID_I_ENABLE_AUTO_BOOST
1175	0x0497	EID_I_DISABLE_AUTO_BOOST
1176	0x0498	EID_I_CHANGE_VOLUMN
1177	0x0499	EID_I_CAMERA_SET_BITRATE
1178	0x049a	EID_I_CAMERA_GET_BITRATE
1179	0x049b	EID_I_SLIP_PROCESS_START
1180	0x049c	EID_I_SLIP_PROCESS_END
1181	0x049d	EID_I_CHARGE_FULL_EXIT
1182	0x049e	EID_I_CHG_BAT_LEVEL_OK
1183	0x049f	EID_I_ENTER_MUTE
1184	0x04a0	EID_I_EXIT_MUTE
1185	0x04a1	EID_I_MAP_SEGMENTATION_CMD
1186	0x04a2	EID_I_MAP_SEGMENTATION_DONE
1187	0x04a3	EID_I_MAP_SEGMENTATION_FAILED
1188	0x04a4	EID_I_ESCAPE_START
1189	0x04a5	EID_I_ESCAPE_DONE
1190	0x04a6	EID_I_MCU_RESET
1191	0x04a7	EID_I_POLE_DUST_DETECTED
1192	0x04a8	EID_I_COLLECT_DUST_START
1193	0x04a9	EID_I_COLLECT_DUST_DONE
1194	0x04aa	EID_I_ENTER_DEEP_DORMANT
1195	0x04ab	EID_I_RESET_USER_DATA
1196	0x04ac	EID_I_NODE_CONFIG_RESETED
1197	0x04ad	EID_I_CUR_POINT_CLEAN_DONE_AND_RELOAD_MAP
1198	0x04ae	EID_I_MOP_NEED_CLEAN
1199	0x04af	EID_I_DUST_CENTER_WORK_START
1200	0x04b0	EID_I_DUST_CENTER_WORK_DONE
1201	0x04b1	EID_I_DUST_CENTER_WORK_FAILED
1202	0x04b2	EID_I_DUST_CENTER_FREQ_CHANGE
1203	0x04b3	EID_I_START_DUST_CENTER_WORK
1204	0x04b4	EID_I_OPEN_CLEAN_COMPONENT
1205	0x04b5	EID_I_CLOSE_CLEAN_COMPONENT
1206	0x04b6	EID_I_GET_LIDAR_CONFIG
1207	0x04b7	EID_I_BKMAP_SWITCH
1208	0x04b8	EID_I_MOP_START
1209	0x04b9	EID_I_RF_START_FIND_CHG
1210	0x04ba	EID_I_NO_NEED_OF_WORK
1211	0x04bb	EID_I_EVENT_END
2000	0x07d0	EID_C_EVENT_BEGIN
